<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
220331;000000;136.5;138.4;131.11;134.6;35411460
220401;000000;135.2;147.41;134.52;143.69;118239240
220402;000000;144.99;155.4;144.51;154.5;118603620
220405;000000;158.76;166.88;150.2;166;115516920
220406;000000;169.83;169.9;147.76;154.1;130008010
220407;000000;143.52;153.3;140.65;141.6;108343440
220408;000000;143.2;149.9;142.5;147.5;58520280
220409;000000;149.01;151;141.06;143.72;48314240
220412;000000;144.12;146.98;138.5;138.69;47482340
220413;000000;138.84;140.1;130.35;135.38;75342120
220414;000000;136.78;138.14;132.72;135.5;38947640
220415;000000;135.7;135.89;129.05;129.05;44206040
220416;000000;128.55;131.72;125.12;130.88;46693490
220419;000000;131.45;132.68;123.7;123.85;58331430
220420;000000;123.85;123.85;115.36;120.3;79797640
220421;000000;120.9;125.44;117.51;121.5;66509740
220422;000000;121.97;123.05;117.85;118.65;40607300
220423;000000;118.69;122.32;115.55;116.97;57392470
220426;000000;115.95;116.4;111.5;111.9;45714280
220427;000000;112.58;124.92;111.9;122.36;83480680
220428;000000;123.01;131.73;120.6;131.11;115400220
220429;000000;132.14;134.5;123.05;123.85;123344490
220430;000000;123.6;130;122.8;128.8;87296290
220505;000000;129.1;131.5;122.5;123.2;67177440
220506;000000;124.21;125.54;122.75;124.8;42303350
220507;000000;124.74;124.99;121.52;123.1;30558900
220512;000000;123.01;126.05;121.86;123.34;32776680
220513;000000;123.1;123.74;118.05;119.15;30817890
220514;000000;120.45;121.59;118.2;120.2;22762650
220517;000000;120.7;123.5;119.5;123.41;34889180
220518;000000;124.01;127.78;123.65;127.75;41838840
220519;000000;128.2;131.3;125;125.12;55422410
220520;000000;125.31;126.86;123.21;125.6;34146310
220521;000000;126.07;127;121.05;122.2;39225870
220524;000000;121.51;122.5;118.9;119.46;37711030
220525;000000;119.45;125;117.1;123.6;45091260
220526;000000;124.12;125.5;120.5;124.15;53466830
220527;000000;124.81;125.99;122;123;51897210
220528;000000;123.1;123.5;120.9;121.22;32523920
220531;000000;121.6;123;120.21;120.67;24894090
220601;000000;120;120;117.62;118.3;29907440
220602;000000;117.5;122.69;117;121.97;43722390
220603;000000;121.9;122.39;118.5;119;42732340
220604;000000;119.29;120.16;117.18;119.21;34298730
220607;000000;119.36;120.35;118.29;118.78;22191350
220608;000000;118.65;118.9;117.32;118.32;22238300
220609;000000;118.5;122.19;118.4;119.9;41488860
220610;000000;120.06;120.2;117.7;118.2;29343850
220611;000000;118.03;119.55;117.73;118.07;25343510
220615;000000;118.04;119.88;115.8;118.98;37579410
220616;000000;119.4;121.71;118.71;121.14;52145030
220617;000000;121.5;123.73;120.41;123.73;47892000
220618;000000;123.9;125.18;123.11;123.88;36503100
220621;000000;124.05;131.5;123.6;131.29;65637580
220622;000000;131.98;133.49;127.11;129.1;75189920
220623;000000;127.88;133.21;126.03;133.11;67693510
220624;000000;133.82;138.4;131.5;136.85;107981870
220625;000000;137.19;138.3;135.21;137.76;45185200
220628;000000;137.7;141.77;136.77;141.15;69806790
220629;000000;141.76;142.35;138.5;139.99;54771750
220630;000000;139.81;139.89;132.75;132.8;55124090
220701;000000;132.5;135.44;123.55;125.2;91333370
220702;000000;124.5;132;122.5;129.91;60560280
220705;000000;129.1;132.8;127.16;131.43;47772880
220706;000000;132;135.7;131.43;133.5;51576470
220707;000000;133.43;137.1;132.5;134;47025990
220708;000000;134.1;135.2;131.22;133.09;42980870
220709;000000;133.16;133.98;130.9;133.3;27594700
220712;000000;132.75;133.9;126.42;126.8;53657260
220713;000000;126.6;129.35;124.2;129;57174340
220714;000000;129.6;129.95;125.36;126;45871190
220715;000000;125.95;128;124.61;125.9;41631700
220716;000000;126.2;129.44;125.27;128.9;44919840
220719;000000;130;130.64;127.25;128.11;35315600
220720;000000;128;128.11;125.51;127.76;32335000
220721;000000;128.12;129.2;126.16;126.44;34673960
220722;000000;126.4;126.83;122.24;125.48;53582090
220723;000000;125.52;129.1;125.03;128.82;46422190
220726;000000;128.93;132;127.24;131.45;55831830
220727;000000;132.04;133.9;131;132.9;50300050
220728;000000;132.9;134.79;131.62;132.5;42456260
220729;000000;133.01;133.49;130.1;131.72;40042950
220730;000000;131.69;132.75;130.31;131.9;27767320
220802;000000;131.77;131.77;127.34;127.34;44231460
220803;000000;126.6;128.44;125.6;127.53;43884150
220804;000000;128.06;129.15;126.27;126.85;30874750
220805;000000;126.94;128.13;126.16;126.95;19529260
220806;000000;127.5;127.58;122.24;122.4;61105370
220809;000000;126.14;127.38;123.51;123.81;52606720
220810;000000;123.9;126.5;122.3;126.4;37895140
220811;000000;126.25;127.29;124.87;126.2;31865110
220812;000000;126.88;126.97;123.07;123.45;30717890
220813;000000;123.48;124.98;122.6;124.88;27133850
220816;000000;124.6;125.7;123.28;125;25301550
220817;000000;125.17;126.86;124.53;126.39;27210450
220818;000000;126.57;127.44;124.5;124.5;32862470
220819;000000;124.39;126.5;123.92;126.3;25365910
220820;000000;126.35;126.36;124.72;125.2;18581110
220823;000000;125.08;126.69;124.7;126.06;24420350
220824;000000;126.06;130.49;126.01;130.38;65383170
220825;000000;130.6;131.64;127.85;128.15;45722080
220826;000000;128.18;129.81;127.1;128.18;35847360
220827;000000;128.14;130.5;127.62;130.4;32857860
220830;000000;130.12;131.4;129.52;131.17;40725660
220831;000000;131.2;132.6;129.65;130.05;50972000
220901;000000;132.3;138.34;131.5;134.25;106571380
220902;000000;133.98;138.22;132.02;138.2;54786340
220903;000000;138.75;144.9;136.22;143.8;136591640
220906;000000;143.48;145.1;139.11;141;87387950
220907;000000;140.9;141.07;135.22;137.23;86562180
220908;000000;136.96;139.19;135.41;136.86;60616830
220909;000000;136.68;137.4;134;134.51;57655660
220910;000000;134.45;138.47;134.23;138.15;48925660
220913;000000;137.12;140.37;136.8;138.7;52455460
220914;000000;138.71;139.37;136.15;137;44533690
220915;000000;136.7;139.29;135.2;138.9;62768230
220916;000000;139.15;140.28;137.61;139.48;56215930
220917;000000;139.38;141.39;136.8;137.73;71732740
220920;000000;137.45;139.08;137.07;138.04;33202580
220921;000000;137.86;138.35;122.42;125.1;208908480
220922;000000;112.5;123.98;109.27;120.23;134746110
220923;000000;120.35;126.95;120.35;124.31;117343820
220924;000000;124.45;124.5;117.35;119.39;85382140
220927;000000;114.99;117.99;105;107.06;147877290
220928;000000;110;113.89;107.07;112.92;90733010
220929;000000;112;115.2;109.13;111.06;77869660
220930;000000;111.59;112.2;107.68;110.41;67451840
221001;000000;110.9;113.4;103.4;110.21;133531450
221004;000000;110.67;114.65;109;114.35;73873990
221005;000000;115.05;115.5;110.3;110.55;83422320
221006;000000;110.46;110.49;106.25;108.51;90327920
221007;000000;108.65;110.38;107.57;108.24;51634990
221008;000000;107.72;108.48;101.3;101.5;90940030
221011;000000;96.55;106.77;96.5;106.71;116896490
221012;000000;106.55;108.3;104.26;107.72;76867120
221013;000000;108.27;108.5;105.25;105.9;63331750
221014;000000;105.7;107.3;104.8;106.5;46813160
221015;000000;106.93;109.19;105.69;107.78;52538120
221018;000000;107.99;112.76;107.65;112.44;78420110
221019;000000;113.05;114.37;110.48;110.88;101627180
221020;000000;110.2;112.93;109.3;112.39;90574840
221021;000000;112.76;117.2;112.37;116.98;100612540
221022;000000;116.93;119.94;114.37;119.45;102297020
221025;000000;120.15;121.68;117.65;118.8;74327210
221026;000000;118.86;125.2;118.3;124.36;114126120
221027;000000;124.71;126.88;122.1;124.43;108350490
221028;000000;124.75;127.5;123.68;126.61;87825200
221029;000000;126.13;127.25;124.6;126.97;73494940
221101;000000;127.2;128.6;125.41;126.72;60649080
221102;000000;127.23;127.97;126.12;127.05;36720430
221103;000000;127.05;127.74;123.75;125.49;40156380
221104;000000;125.39;126.1;123.91;125.75;47535720
221108;000000;127.02;132;126.5;132;91496790
221109;000000;131.99;133.11;130.1;131.29;69371580
221110;000000;131.06;131.47;126.42;127.3;64832870
221111;000000;131.02;136.69;129.77;136.68;170890500
221112;000000;137.71;138.42;135.13;136.98;75278900
221115;000000;137.41;140.7;135.83;139.8;82383460
221116;000000;140.4;141;130.86;135.66;145273030
221117;000000;136.99;139.73;136.32;139.18;66816110
221118;000000;139.11;140.35;136.6;137.57;59085810
221119;000000;137.1;137.81;135.84;136.89;44009880
221122;000000;136.01;136.3;132.51;134.46;83395500
221123;000000;134.55;136;133.81;135.65;45774100
221124;000000;135.7;137.55;134.5;136.59;52259060
221125;000000;137;138.41;136.12;136.61;42319840
221126;000000;137.2;137.24;135.41;136.53;29248180
221129;000000;135.01;136.2;134.1;135.53;45047440
221130;000000;136.29;137.2;135.88;136.37;31503750
221201;000000;136.51;136.78;135.23;136.78;26797760
221202;000000;137.11;137.95;136.31;137.15;32859350
221203;000000;136.98;137.1;136.17;136.66;19212600
221206;000000;136.66;142.68;136.25;142;103887240
221207;000000;142.2;143.37;139.11;140.61;51734090
221208;000000;140.5;142.81;138.36;142.32;69817930
221209;000000;143.5;143.6;139.8;139.92;63554380
221210;000000;139.7;140.7;139.24;140.03;29390220
221213;000000;140.19;140.87;138.7;139.48;33347970
221214;000000;139.65;139.93;136.67;138.13;52159500
221215;000000;138.25;138.25;136.6;137.3;34031240
221216;000000;136.97;137.08;134.3;134.55;54698540
221217;000000;134.5;136.09;134.13;135.45;32731270
221220;000000;135.13;136.73;132.86;134.64;58784640
221221;000000;134.51;138.4;134.41;138.28;44987710
221222;000000;138.7;139.12;135.81;137.75;45361520
221223;000000;137.99;138.97;137;137.69;30488490
221224;000000;137.49;138.26;136.81;137.94;22816280
221227;000000;138.34;141;138;140.95;49323760
221228;000000;141.31;142;139.6;139.9;41507480
221229;000000;139.79;140.4;138.6;139.51;27937090
221230;000000;139.5;141.65;139.22;140.96;32029570
221231;000000;140.84;141.48;140.13;141.15;28072880
230104;000000;141.6;143.25;141.56;141.78;21027110
230105;000000;141.84;142.28;140.75;141.43;17094250
230106;000000;141.6;141.84;140.54;141.27;17236330
230107;000000;141.35;141.62;140.9;141.4;10647380
230110;000000;141.84;142.99;141.65;142.4;31314900
230111;000000;142.11;142.85;141.31;142.81;23691190
230112;000000;142.97;149.98;142.87;149.96;123046960
230113;000000;150.05;150.79;148.39;149.3;46557290
230114;000000;149.57;153.28;147.71;151.69;88460580
230117;000000;152.85;154;151.88;153.71;51527810
230118;000000;153.97;154.31;150.01;150.45;84226560
230119;000000;150.4;153;149.41;151.47;67364580
230120;000000;151.2;152.85;148.56;149.34;66640910
230121;000000;149.7;151.4;148.64;151.38;44165570
230124;000000;151.9;154.1;151.01;153.5;55100140
230125;000000;153.94;155.58;152.28;152.66;78662030
230126;000000;152.45;153.6;151.5;152.81;43317800
230127;000000;153.32;154.3;151.73;152.4;45375340
230128;000000;152.4;153.48;151.69;153.2;34069080
230131;000000;153.5;153.88;152.21;153.38;31014210
230201;000000;153.51;158.18;153.3;158.07;77840320
230202;000000;158.2;159.6;156.5;158.29;66229060
230203;000000;158.39;160.29;157.37;159.45;53822290
230204;000000;159.09;162.32;157.88;161.26;63595690
230207;000000;161.71;167.17;161.01;167.09;88885050
230208;000000;167.3;168.7;163.4;165.39;92561690
230209;000000;165.1;166.35;162.7;164.15;58565870
230210;000000;164.35;167.47;161.27;165.31;107000260
230211;000000;165;166.49;164.5;165.52;40772540
230214;000000;165.21;166.88;164.17;164.32;36134650
230215;000000;164.3;164.38;161.64;161.86;58676770
230216;000000;160.93;161.12;153.83;156.25;113600860
230217;000000;157.34;159.3;156.25;158.22;68386460
230218;000000;157.95;160.38;156.91;159.73;51777410
230221;000000;159.42;161.3;156.73;160.09;63810790
230222;000000;160.64;165.65;159.26;164.15;127324000
230223;000000;164.13;164.42;162.5;163.37;43695690
230225;000000;163.33;165.5;163.1;164.3;37700530
230228;000000;163.64;170;162.96;169.95;100005170
230301;000000;170.48;171.92;168.37;169.82;80540860
230302;000000;170.4;171.66;169.5;170.53;53655680
230303;000000;170.4;170.4;166.55;168.05;86014000
230304;000000;168.2;171.26;167.9;171.16;49424990
230307;000000;172.13;172.99;171.35;171.84;64237540
230308;000000;171.87;174.2;171;174.01;55231190
230310;000000;174.85;174.89;172.21;172.55;79748090
230311;000000;171.71;173;170.58;172.53;49778720
230314;000000;172.53;173.9;169.26;172.15;73298080
230315;000000;171.65;176.95;171.01;175.71;89212040
230316;000000;176;177.37;173.59;175.3;79838900
230317;000000;174.9;176.04;173.36;175.45;51345380
230318;000000;183.02;193.66;178.56;193.59;384905230
230321;000000;196.03;205.09;195;203.73;155827740
230322;000000;204.75;208;201.25;203.32;122268990
230323;000000;203.41;204.4;201.59;202.89;57464560
230324;000000;202.55;204.2;202.22;202.58;26484020
230325;000000;202.85;203.85;202;203.57;24297290
230328;000000;204.02;213.2;204.01;211.84;101348890
230329;000000;212.85;214.7;210.67;214.03;73669280
230330;000000;214.86;219.53;213.6;217.99;96549640
230331;000000;217.34;218.45;216.12;216.87;40737550
230401;000000;217.2;217.35;211.3;216.6;88023190
230404;000000;218.45;219.44;214.8;216.09;54788980
230405;000000;216.2;217.29;213.8;214.83;45747250
230406;000000;214.69;216.3;211.4;216.15;46127960
230407;000000;216.3;217.38;214.07;214.25;38993420
230408;000000;214.5;216.39;213.65;216.27;29157060
230411;000000;217.1;222.26;216.61;222.21;84958930
230412;000000;222.9;223.33;217.62;218.6;98349200
230413;000000;218.62;219.7;216.67;219.22;44633200
230414;000000;219.41;220.89;218;219.85;32580550
230415;000000;219.99;222.5;218.51;221.87;43248810
230418;000000;222.97;228.2;222.91;228.1;78562510
230419;000000;227.89;232.76;227.05;232.66;97459980
230420;000000;232.67;237.37;231.1;232.95;115494020
230421;000000;233.32;236.47;229.84;236.28;85046740
230422;000000;237.4;238.85;233.52;235.17;115606560
230425;000000;235.09;236.4;234.1;235.1;30405040
230426;000000;235.16;235.82;234.21;235.3;32063750
230427;000000;235.55;235.95;234.91;235.21;24351620
230428;000000;235.51;240.74;235.13;240.38;68224840
230429;000000;240.86;241.58;237.66;240.38;49494960
230503;000000;242.2;245;237.4;242.62;83246880
230504;000000;242.85;242.99;234;235.77;76740930
230505;000000;236.51;239.74;236.05;238.89;53006840
230506;000000;239.19;240.66;237.3;237.7;61314710
230509;000000;238.65;239.86;237.36;238.27;47676110
230511;000000;216.51;227.5;215.7;227.06;154134860
230512;000000;228.57;235.38;223.94;229.32;197037380
230513;000000;231.05;232.47;226.15;229.29;69831820
230516;000000;230.54;231.75;228.52;231.7;48873370
230517;000000;232.4;232.86;229.57;230.62;36429340
230518;000000;229.86;230.97;228.75;230.55;31635370
230519;000000;231.72;234.49;230.72;231.7;55909060
230520;000000;230.98;232.3;229.81;231.27;31540330
230523;000000;232.2;232.78;230;231;26351890
230524;000000;231.24;237.29;230.21;236.43;62996030
230525;000000;237.49;246.13;236.26;246.06;85850770
230526;000000;246.11;247.4;242.65;243.76;70582820
230527;000000;243.49;249.64;242.81;248.1;69113640
230530;000000;249.77;252.59;248.85;251.18;67591330
230531;000000;248.84;250.85;243.8;244.65;82871290
230601;000000;244;247.18;240.27;246.17;72797140
230602;000000;247;247;240.57;241.66;51897410
230603;000000;242.01;245.5;240.77;243.95;46465000
230606;000000;243.51;244.15;235.1;237.12;78650640
230607;000000;236;242.1;232.54;240.91;100337100
230608;000000;241.23;244.39;238.56;241.25;63082450
230609;000000;241.3;242.78;239.55;241.77;29851820
230610;000000;242.79;243;240.11;240.4;27458600
230614;000000;241.51;244.5;240.63;244.33;40478120
230615;000000;245.7;247.68;242.8;244.6;51810860
230616;000000;245.12;245.94;243.22;245.18;40015310
230617;000000;245.5;245.9;243.7;243.87;23311220
230620;000000;244.46;244.69;241.32;242.28;29777860
230621;000000;241.95;242.22;238.82;241.74;36578050
230622;000000;241.9;243.92;240.6;242.2;26644780
230623;000000;242.1;242.8;240.13;240.66;23093570
230624;000000;239.96;240.99;234.34;235.67;61661860
230627;000000;239.6;240.5;233.4;238.4;81032100
230628;000000;239.02;242.34;236.8;241.21;51321260
230629;000000;241.8;241.8;238.6;239.67;28217550
230630;000000;239.75;241.26;239.02;239.99;28077670
230701;000000;240;240.68;238.36;239.61;24011230
230704;000000;240;244.56;239.15;243.33;47207170
230705;000000;243.45;243.78;240.61;240.7;41487820
230706;000000;241.48;241.9;240.24;240.95;19841190
230707;000000;241.45;242.47;240.71;240.96;23175870
230708;000000;241.2;243.75;240.7;243.67;30201090
230711;000000;244.22;249.45;244.2;249.4;64946220
230712;000000;250.02;250.2;246.51;247.99;49073930
230713;000000;248.39;249.2;246.1;247.52;39166310
230714;000000;247.96;248.15;245.34;246.19;29474970
230715;000000;246.3;247.05;244.51;246.45;25576610
230718;000000;244.76;246.2;243.6;245.39;35730950
230719;000000;245.6;247.5;245.26;246.77;35911790
230720;000000;247.21;248.1;245;245.85;31394740
230721;000000;246.25;246.25;242.15;242.7;35960520
230722;000000;243.17;244.53;241.7;244.13;32120690
230725;000000;243.99;245.85;243.52;244.87;19681330
230726;000000;245.37;247.77;244.81;247.2;39683790
230727;000000;247.22;248.33;245.9;247.05;26031980
230728;000000;247.51;249.3;247.24;247.95;39756100
230729;000000;247.99;249.45;246.67;249.25;35742280
230801;000000;251.35;267.77;251.35;267.4;167081570
230802;000000;268.98;273.35;264.1;268.5;162474350
230803;000000;268.53;269.97;266.52;268.57;48208590
230804;000000;269.01;271.35;266.8;269.11;75376240
230805;000000;269.48;272.96;261.21;264.12;132164900
230808;000000;266.5;268.09;260.5;261.92;61223950
230809;000000;261.91;265.44;258.8;264.62;65005790
230810;000000;265.46;265.8;263.05;263.91;34850720
230811;000000;264.72;267.5;263.96;266.91;37190100
230812;000000;267.2;267.4;264.8;266.23;24716230
230815;000000;267.37;268.77;259.15;260.45;86583040
230816;000000;259.1;264.17;256.63;260.42;58967150
230817;000000;261.29;261.68;254.33;256.02;71737910
230818;000000;257.19;258.8;255.5;258.5;35682720
230819;000000;258.39;261.37;257.35;261.14;30973320
230822;000000;262.33;263.06;259.51;261.15;35622200
230823;000000;261.9;262.11;259.81;261.45;25893210
230824;000000;261.55;261.83;256;256.4;53079140
230825;000000;257.62;259.94;256.4;259.63;26823420
230826;000000;258.8;261.6;257.61;260.5;28518670
230829;000000;261.25;267.83;260.81;266.93;57849930
230830;000000;266.62;267.56;265.14;265.68;35291820
230831;000000;265.73;267.36;263.1;264.7;38578950
230901;000000;265.05;266.25;264.3;264.85;22557030
230902;000000;265.4;265.62;264.06;265;19248500
230905;000000;266.5;269.11;266;267.39;47933710
230906;000000;266.97;267.98;261.09;264.75;39642920
230907;000000;264.33;264.68;262.31;263.5;28244090
230908;000000;263.52;264.97;256.1;258.79;67608570
230909;000000;258.45;259.33;253.1;255.68;49455340
230912;000000;257;258.37;255.16;256.25;43042300
230913;000000;257.69;262.4;257.09;262.4;45008650
230914;000000;262.38;262.77;257.59;258.18;29971320
230915;000000;258.85;261.38;255.02;260;46153720
230916;000000;259.8;262.74;258.56;260.83;35455920
230919;000000;262.06;263;258.76;259.07;28891500
230920;000000;258.93;259.32;251.5;252.72;89480280
230921;000000;252.81;255.47;249.82;253.77;66610520
230922;000000;252.94;254.2;249.81;250.16;58854870
230923;000000;249.85;253.1;248.62;251.99;40406630
230926;000000;252.11;253.49;249.83;252.65;31834270
230927;000000;252.2;257.17;250.9;255.87;42923170
230928;000000;256.26;257.85;254.63;256.1;27795730
230929;000000;256.22;258.25;255.5;257.67;26289900
230930;000000;257.99;262.59;256.71;260.72;68503050
231003;000000;261.38;261.92;257.03;258.98;35447350
231004;000000;258.99;260.5;257.23;259.65;23815150
231005;000000;259;260.39;258.24;259.53;18510890
231006;000000;260.71;261.39;258.26;259.38;23254560
231007;000000;259.77;263.4;257.86;262.93;31980230
231010;000000;263.02;265.97;263;265.25;45189600
231011;000000;264.9;265.18;257;263;33744090
231012;000000;263.18;263.99;259.5;260.21;29440350
231013;000000;260.03;264.5;259.66;264.5;27421510
231014;000000;264.75;265.04;262.7;263.51;18351530
231017;000000;263.99;269.2;263.51;268.15;53677710
231018;000000;268.25;271.97;266.91;270;51107660
231019;000000;270;271.19;266.11;267.9;40249640
231020;000000;267.14;271;266.28;268.65;33466930
231021;000000;268.5;270.3;266.5;269.8;32851790
231024;000000;270.47;274.1;269.65;270.1;62301840
231025;000000;270.03;272.06;268.62;271.27;27975250
231026;000000;271.5;274.96;270.53;273.73;41764060
231027;000000;274.1;276;269.12;269.9;59466100
231028;000000;270;271.98;266.8;269.7;49735190
231031;000000;269.9;271.55;268.6;269.89;33261680
231101;000000;269.91;270.5;266.87;268.35;26117980
231102;000000;268.29;270.3;267.6;269.68;20587810
231103;000000;270.01;270.98;268.5;269.06;25499750
231104;000000;269.07;269.78;267.2;268.54;20968810
231107;000000;269;273.87;268.62;273.42;29231770
231108;000000;273.08;274.78;272.2;273.31;32183320
231109;000000;273.53;278.35;273.28;278.15;58000060
231110;000000;278.6;278.85;276.02;276.65;28258660
231111;000000;276.99;281.3;276.6;280.19;44600220
231114;000000;280.4;284.8;280.32;283.97;45780320
231115;000000;283.66;283.88;280.54;280.87;40350240
231116;000000;280.87;283.93;278.51;282.89;41784490
231117;000000;282.4;283.69;279.56;279.7;24654700
231118;000000;279.69;282.5;278.66;281.6;31282610
231121;000000;281.8;284.2;281.61;282.91;25219810
231122;000000;282.29;283.82;281.66;282.79;19027720
231123;000000;283.14;286.67;282.85;286.16;47267490
231124;000000;286.16;287.77;285.04;286.19;27692900
231125;000000;286.48;287.5;285.11;286.85;26019540
231128;000000;287.41;289;278.88;282.33;79026910
231129;000000;282.4;282.51;277.32;279.91;45475110
231130;000000;279.48;280.56;276.2;276.8;29776060
231201;000000;276.71;278.65;272.75;277.5;55837620
231202;000000;277.04;277.98;273.55;273.97;31604310
231205;000000;273.59;274.95;270.52;270.96;37456310
231206;000000;271.97;279.65;270.54;279.62;46800410
231207;000000;279.92;280.79;266.83;267.58;99849690
231208;000000;267.74;270.44;263.06;265.12;63509590
231209;000000;266.01;268.23;263.72;265.16;35322130
231212;000000;265.17;266.47;254.81;256.89;77590450
231213;000000;256.79;262.88;255.05;257.6;63807080
231214;000000;257.58;261.39;256.5;260.45;29760860
231215;000000;261.4;262.75;255.58;256.64;40477500
231216;000000;256.61;268.91;256.61;268.21;84643800
231219;000000;268.9;270.44;266.54;268.4;51515190
231220;000000;268.35;269.71;265;267.35;38229660
231221;000000;267.52;269.1;266.2;266.61;30929220
231222;000000;266.55;266.87;263.5;265.19;33214370
231223;000000;266.07;271.9;265.37;271.3;58687300
231226;000000;271.75;273.85;270.05;271.08;37827910
231227;000000;271;272.89;270;271.9;22575240
231228;000000;271.9;272.59;270.85;271.08;17191450
231229;000000;270.99;272.48;268.52;271.74;29416450
231230;000000;272.08;272.59;270.55;270.82;20792860
240104;000000;271.75;274.7;271;274.56;20408560
240105;000000;274.68;275.48;273.7;274.12;11679550
240106;000000;274.3;274.69;272.8;273.62;9622380
240109;000000;273.59;277;273.53;276.76;21427450
240110;000000;276.94;278;274.71;275.28;20263120
240111;000000;275.3;276.16;273.64;274.49;20618950
240112;000000;274.62;275.97;274.01;275.71;19520470
240113;000000;275.9;276.96;274.77;275.84;17608350
240116;000000;276.3;277.73;275.21;275.96;21283290
240117;000000;276.24;276.45;274.1;276.01;16084140
240118;000000;276.02;279.17;275.75;278;34137100
240119;000000;278.22;278.87;276.76;277.07;17671830
240120;000000;277.39;277.47;273.55;274.86;28038880
240123;000000;274.89;275.9;273.85;274.93;15050630
240124;000000;274.69;277.26;274.31;275.9;20017040
240125;000000;275.94;276.44;273.7;273.77;20187430
240126;000000;274.03;274.18;271.55;272.81;24422490
240127;000000;273.1;273.72;272.21;272.65;11102660
240130;000000;273.05;274.95;272.7;274.05;17043130
240131;000000;274.05;277.25;273.97;275.67;27222730
240201;000000;275.8;276.45;275;276;12527800
240202;000000;276.07;277.75;275.93;276.86;15941680
240203;000000;277.01;277.3;276;276.74;12688460
240206;000000;276.94;278.57;276.9;277.84;16017040
240207;000000;278;278.99;277.3;278.67;15925370
240208;000000;278.81;284.5;278.81;284.41;45347300
240209;000000;284.56;286.24;281.25;282.17;44060410
240210;000000;282.16;284;281.5;283.5;24301430
240213;000000;283.67;287.84;283.5;287.28;33867350
240214;000000;287.52;289;285.4;287.07;33266090
240215;000000;287.08;290.6;286.84;289.06;35814960
240216;000000;289.26;290.45;287.63;290.24;25888540
240217;000000;290.47;292.3;286.25;288.33;53426930
240220;000000;288.59;289.98;287.07;288.93;24275510
240221;000000;289.23;289.28;283.29;283.9;44931560
240222;000000;283.91;285.28;280.2;282;48809450
240223;000000;282.24;285.05;282.1;284.77;25107350
240227;000000;288.52;291.3;287;291.25;42606720
240228;000000;291.34;293;290.55;292.52;32411030
240229;000000;292.61;293.95;289.75;291.75;49212360
240301;000000;292.3;293.2;291.3;292.19;22398680
240302;000000;292.21;295.88;292.21;295.38;27050460
240305;000000;295.8;299.5;295.8;299.17;40526260
240306;000000;299.32;300.41;297.57;298.4;41691010
240307;000000;298.19;299.33;296.82;297.71;17675740
240308;000000;297.72;300.58;297.24;300.4;21933870
240312;000000;300.99;302.95;298.5;299.79;41634000
240313;000000;299.54;301.07;297.34;300.9;28579520
240314;000000;301.2;301.49;298.7;298.85;23980400
240315;000000;298.47;298.7;295.14;295.83;42076250
240316;000000;295.75;299.44;295.29;298.3;26002750
240319;000000;299.41;299.98;297.63;298.87;20213950
240320;000000;298.3;299.4;294.21;295.2;59646690
240321;000000;295.4;296.88;293.52;295.4;30646650
240322;000000;295.95;297.3;291.8;295.62;70581560
240323;000000;295.77;296.79;291.05;292.99;48966360
240326;000000;294;294.93;292.13;293.9;25449910
240327;000000;294.44;295.82;293.04;294.11;16268420
240328;000000;294.45;295.11;293.47;295.1;14531720
240329;000000;295.51;299.3;295.51;299;33617440
240330;000000;299.37;299.5;298;298.72;17644190
240402;000000;299.99;301.65;299.5;300.43;28378290
240403;000000;300.42;300.99;298.95;300.38;19900790
240404;000000;300.39;307.13;300.17;306.72;58210390
240405;000000;306.8;307.77;304.36;304.61;29046010
240406;000000;304.65;306.5;303.7;306.1;19315070
240409;000000;306.5;308.6;306.22;307.75;24816860
240410;000000;308.1;309.35;305.51;306.76;31960600
240411;000000;306.76;307.14;304.62;306.48;20618060
240412;000000;306.64;308;305.7;306.95;20511760
240413;000000;307.41;307.87;306.3;307.1;16001210
240416;000000;307.4;308.39;306.64;307.99;20711610
240417;000000;308;308.65;307;308.29;17030710
240418;000000;308.64;309.74;305.91;306.59;28070320
240419;000000;306.02;308.29;305.05;307.99;20296500
240420;000000;308.02;308.38;306.8;307.38;14563250
240423;000000;307.99;315;307.38;314.99;68916500
240424;000000;315.3;315.79;306.26;307.39;92606890
240425;000000;307.52;309.79;306.65;307.94;26515970
240426;000000;307.96;309.07;307.45;308.41;15934990
240427;000000;308.5;309.9;308;309;21126710
240428;000000;309.2;309.99;308.7;308.98;13089900
240430;000000;309.13;309.6;307.65;308.97;10004910
240501;000000;309.19;309.49;308.03;308.24;5969290
240503;000000;308.71;309.19;306.8;307.37;16246440
240504;000000;307.16;308.29;304.34;307.53;30440790
240507;000000;308.08;308.09;305.55;306.01;19100370
240508;000000;306.25;308.87;306.21;308.22;16606530
240509;000000;308.41;311.83;308.08;311.21;33875380
240511;000000;311.49;313.5;311.31;313.49;16675700
240514;000000;314.1;315.7;314.04;314.85;21503920
240515;000000;314.98;318.41;313.58;318.12;35181520
240516;000000;318.2;320.16;317.7;319.7;28195960
240517;000000;320.01;322.91;320;322.91;27790120
240518;000000;322.95;323.5;320.02;323.16;24321350
240521;000000;324;324.85;318.94;321.08;36547050
240522;000000;320.89;322.23;318;320.64;33999260
240523;000000;320.84;323.1;320.84;322.93;18635350
240524;000000;322.8;324;321.23;323.54;17835590
